ID;Conf;D1G-P;D1G-R;D1G-F1;D1Y-P;D1Y-R;D1Y-F1;D1R-P;D1R-R;D1R-F1;D1Accuracy;D2G-P;D2G-R;D2G-F1;D2Y-P;D2Y-R;D2Y-F1;D2R-P;D2R-R;D2R-F1;D2Accuracy
1275;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 25, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.8319;0.7520;0.7899;0.7216;0.5556;0.6278;0.4889;0.8980;0.6331;0.6933;0.6765;0.5897;0.6301;0.4815;0.7027;0.5714;0.0000;0.0000;0.0000;0.5568
1276;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 25, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.6400;0.7680;0.6982;0.5804;0.5159;0.5462;0.5263;0.4082;0.4598;0.6033;0.8235;0.7179;0.7671;0.6111;0.8919;0.7253;0.0000;0.0000;0.0000;0.6932
1277;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 25, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.7623;0.7440;0.7530;0.7075;0.5952;0.6466;0.4722;0.6939;0.5620;0.6733;0.8077;0.5385;0.6462;0.3902;0.4324;0.4103;0.0476;0.0833;0.0606;0.4318
1278;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 25, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7099;0.7440;0.7266;0.6667;0.5873;0.6245;0.5000;0.5918;0.5421;0.6533;0.9615;0.6410;0.7692;0.5763;0.9189;0.7083;0.0000;0.0000;0.0000;0.6705
1279;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 25, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.7500;0.7200;0.7347;0.6698;0.5635;0.6121;0.4730;0.7143;0.5691;0.6533;0.6765;0.5897;0.6301;0.4815;0.7027;0.5714;0.0000;0.0000;0.0000;0.5568
1280;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 30, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.6284;0.7440;0.6813;0.6071;0.5397;0.5714;0.5250;0.4286;0.4719;0.6067;0.4571;0.8205;0.5872;0.2143;0.0811;0.1176;0.0000;0.0000;0.0000;0.3977
1281;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 30, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.6739;0.7440;0.7072;0.6066;0.5873;0.5968;0.5000;0.4082;0.4494;0.6233;0.8125;0.6667;0.7324;0.6000;0.8919;0.7174;0.0000;0.0000;0.0000;0.6705
1282;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 30, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7385;0.7680;0.7529;0.6512;0.6667;0.6588;0.5854;0.4898;0.5333;0.6800;0.7143;0.7692;0.7407;0.5682;0.6757;0.6173;0.0000;0.0000;0.0000;0.6250
1283;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 30, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.7680;0.7680;0.7680;0.6602;0.5397;0.5939;0.4861;0.7143;0.5785;0.6633;0.5789;0.8462;0.6875;0.5806;0.4865;0.5294;0.0000;0.0000;0.0000;0.5795
1284;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 30, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.6463;0.7600;0.6985;0.6238;0.5000;0.5551;0.5000;0.5306;0.5149;0.6133;0.4571;0.8205;0.5872;0.2143;0.0811;0.1176;0.0000;0.0000;0.0000;0.3977
