ID;Conf;D1G-P;D1G-R;D1G-F1;D1Y-P;D1Y-R;D1Y-F1;D1R-P;D1R-R;D1R-F1;D1Accuracy;D2G-P;D2G-R;D2G-F1;D2Y-P;D2Y-R;D2Y-F1;D2R-P;D2R-R;D2R-F1;D2Accuracy
1293;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.7115;0.4684;0.5649;0.5593;0.7097;0.6256;0.3571;0.3846;0.3704;0.5707;0.8529;0.7436;0.7945;0.6296;0.9189;0.7473;0.0000;0.0000;0.0000;0.7159
1294;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7500;0.5316;0.6222;0.6460;0.7849;0.7087;0.4828;0.5385;0.5091;0.6515;0.8824;0.7692;0.8219;0.6078;0.8378;0.7045;0.0000;0.0000;0.0000;0.6932
1295;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.7273;0.6076;0.6621;0.6476;0.7312;0.6869;0.4815;0.5000;0.4906;0.6515;1.0000;0.6923;0.8182;0.6066;1.0000;0.7551;0.0000;0.0000;0.0000;0.7273
1296;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.7385;0.6076;0.6667;0.6500;0.6989;0.6736;0.2121;0.2692;0.2373;0.6061;0.6667;0.3590;0.4667;0.6250;0.8108;0.7059;0.1053;0.1667;0.1290;0.5227
1297;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7500;0.5316;0.6222;0.6204;0.7204;0.6667;0.2059;0.2692;0.2333;0.5859;0.7105;0.6923;0.7013;0.5918;0.7838;0.6744;1.0000;0.0833;0.1538;0.6477
1298;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7213;0.5570;0.6286;0.6762;0.7634;0.7172;0.3750;0.4615;0.4138;0.6414;0.6522;0.7692;0.7059;0.5897;0.6216;0.6053;0.6667;0.1667;0.2667;0.6250
1299;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.6818;0.5696;0.6207;0.6408;0.7097;0.6735;0.3793;0.4231;0.4000;0.6162;0.8846;0.5897;0.7077;0.5645;0.9459;0.7071;0.0000;0.0000;0.0000;0.6591
1300;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.6863;0.4430;0.5385;0.5294;0.5806;0.5538;0.2667;0.4615;0.3380;0.5101;0.9600;0.6154;0.7500;0.5714;0.9730;0.7200;0.0000;0.0000;0.0000;0.6818
1301;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.6415;0.4304;0.5152;0.5586;0.6667;0.6078;0.2941;0.3846;0.3333;0.5354;0.8529;0.7436;0.7945;0.6296;0.9189;0.7473;0.0000;0.0000;0.0000;0.7159
1302;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7241;0.5316;0.6131;0.6250;0.7527;0.6829;0.5000;0.5385;0.5185;0.6364;0.8824;0.7692;0.8219;0.6078;0.8378;0.7045;0.0000;0.0000;0.0000;0.6932
1303;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.6818;0.5696;0.6207;0.6275;0.6882;0.6564;0.4667;0.5385;0.5000;0.6212;1.0000;0.6923;0.8182;0.6066;1.0000;0.7551;0.0000;0.0000;0.0000;0.7273
1304;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 10, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.7188;0.5823;0.6434;0.6162;0.6559;0.6354;0.1714;0.2308;0.1967;0.5707;0.6512;0.7179;0.6829;0.4889;0.5946;0.5366;0.0000;0.0000;0.0000;0.5682
1305;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 10, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7302;0.5823;0.6479;0.6117;0.6774;0.6429;0.1875;0.2308;0.2069;0.5808;0.7105;0.6923;0.7013;0.5918;0.7838;0.6744;1.0000;0.0833;0.1538;0.6477
1306;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 10, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7458;0.5570;0.6377;0.6339;0.7634;0.6927;0.3333;0.3462;0.3396;0.6263;0.6481;0.8974;0.7527;0.6250;0.5405;0.5797;0.0000;0.0000;0.0000;0.6250
1307;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 10, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.7385;0.6076;0.6667;0.6562;0.6774;0.6667;0.3243;0.4615;0.3810;0.6212;1.0000;0.6410;0.7813;0.5873;1.0000;0.7400;0.0000;0.0000;0.0000;0.7045
1308;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 10, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.7143;0.4430;0.5469;0.5743;0.6237;0.5979;0.1667;0.3077;0.2162;0.5101;0.9600;0.6154;0.7500;0.5714;0.9730;0.7200;0.0000;0.0000;0.0000;0.6818
1309;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 10, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.7037;0.4810;0.5714;0.6330;0.7419;0.6832;0.3143;0.4231;0.3607;0.5960;0.8529;0.7436;0.7945;0.6296;0.9189;0.7473;0.0000;0.0000;0.0000;0.7159
1310;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 10, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.6897;0.5063;0.5839;0.6261;0.7742;0.6923;0.3600;0.3462;0.3529;0.6111;0.8824;0.7692;0.8219;0.6078;0.8378;0.7045;0.0000;0.0000;0.0000;0.6932
1311;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 10, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.6923;0.5696;0.6250;0.6286;0.7097;0.6667;0.3571;0.3846;0.3704;0.6111;1.0000;0.6923;0.8182;0.6066;1.0000;0.7551;0.0000;0.0000;0.0000;0.7273
